alpha,rradd,tslice,algo,avg_cpu_burst,avg_wait_time,avg_turnaround_time, total_cxtswitch_no,total_preemption_no
0.7,BEGINNING,20,SJF,10.000,67.662,79.662,1000,0
0.7,BEGINNING,20,SRT,10.000,68.118,80.170,1026,26
0.7,BEGINNING,20,FCFS,10.000,126.258,138.258,1000,0
0.7,BEGINNING,20,RR,10.000,67.830,79.830,1000,0
0.7,END,50,SJF,10.000,67.662,79.662,1000,0
0.7,END,50,SRT,10.000,68.118,80.170,1026,26
0.7,END,50,FCFS,10.000,126.258,138.258,1000,0
0.7,END,50,RR,10.000,126.258,138.258,1000,0
0.7,BEGINNING,50,SJF,10.000,67.662,79.662,1000,0
0.7,BEGINNING,50,SRT,10.000,68.118,80.170,1026,26
0.7,BEGINNING,50,FCFS,10.000,126.258,138.258,1000,0
0.7,BEGINNING,50,RR,10.000,67.830,79.830,1000,0
0.8,END,10,SJF,10.000,67.662,79.662,1000,0
0.8,END,10,SRT,10.000,68.004,80.040,1018,18
0.8,END,10,FCFS,10.000,126.258,138.258,1000,0
0.8,END,10,RR,10.000,126.258,138.258,1000,0
0.8,BEGINNING,10,SJF,10.000,67.662,79.662,1000,0
0.8,BEGINNING,10,SRT,10.000,68.004,80.040,1018,18
0.8,BEGINNING,10,FCFS,10.000,126.258,138.258,1000,0
0.8,BEGINNING,10,RR,10.000,67.830,79.830,1000,0
0.8,END,20,SJF,10.000,67.662,79.662,1000,0
0.8,END,20,SRT,10.000,68.004,80.040,1018,18
0.8,END,20,FCFS,10.000,126.258,138.258,1000,0
0.8,END,20,RR,10.000,126.258,138.258,1000,0
0.8,BEGINNING,20,SJF,10.000,67.662,79.662,1000,0
0.8,BEGINNING,20,SRT,10.000,68.004,80.040,1018,18
0.8,BEGINNING,20,FCFS,10.000,126.258,138.258,1000,0
0.8,BEGINNING,20,RR,10.000,67.830,79.830,1000,0
0.8,END,50,SJF,10.000,67.662,79.662,1000,0
0.8,END,50,SRT,10.000,68.004,80.040,1018,18
0.8,END,50,FCFS,10.000,126.258,138.258,1000,0
0.8,END,50,RR,10.000,126.258,138.258,1000,0
0.8,BEGINNING,50,SJF,10.000,67.662,79.662,1000,0
